State,State Code,Shield Law,Gender Marker on ID (adult),Gender Marker on ID (minor),Gender Marker Options on ID,Gender Marker on Birth Certificate (adult),Gender Marker on Birth Certificate (minor),Gender Marker options on Birth Certificate,Name Change (adult),Name Change (minor),Non-Discrimination,Foster Care Non-Discrimination,Adoption Non-Discrimination,Child Welfare Non-Discrimination for LGBTQ Youth,Recognition of Assisted-Reproduction,VAP for Non-Genetic LGBTQ Parents,Gender Inclusive Bathroom Laws (Adult),Gender Inclusive Bathroom Laws (minor),LGBTQ Inclusive Curriculum,Anti-Bullying Legal Protections for TGNC* students,Non-Discrimination  Protections for LGBTQ Students,Gay/ Trans Panic Defense Ban,Hate Crime Laws Specific to Gender Identity,Jury Service Non-Discrimination Based on Gender Identity,Gender Inclusive Correctional Housing ,Gender Affirming Care in Correctional Facilities,Trans Bathroom Ban K-12,Trans Bathroom Ban in Schools and Government Buildings,State Defines Sex,Broad ‘RFRA’,Religious Exemption for Child Welfare,Religious Exemption for Medical Professionals,Marriage Services and/or Marriage License Denial,Drag Ban,Don’t Say Gay,Specific Subject Restrictions,Parental Notification (opt-in or opt-out),Sports Ban,Forced Outing in Schools,Ban on Best Practice Medical Care for Trans Youth,Barriers to Identity Documents,Abortion Access,Interstate Abortion Shield Law
Alabama,AL,FALSE,0,0,FALSE,-1,-1,FALSE,1,0,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-1,0,0,-1,-1,-1,0,0,-1,0,0,-1,-1,-1,0,-1,FALSE
Alaska,AK,FALSE,0.5,0.5,FALSE,0.5,0.5,FALSE,0,0,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0.5,FALSE
Arizona,AZ,TRUE,0,0,FALSE,-1,-1,FALSE,0.5,0.5,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-0.5,-1,0,0.5,FALSE
Arkansas,AR,TRUE,1,1,TRUE,-1,-1,FALSE,1,1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,-1,0,0,-1,0,-1,0,0,-1,0,-1,-1,0,-1,0,-1,FALSE
California,CA,TRUE,1,1,TRUE,1,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE
Colorado,CO,TRUE,1,0.5,TRUE,1,0.5,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,TRUE
Connecticut,CT,TRUE,1,1,TRUE,0.5,0.5,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,TRUE
Delaware,DE,FALSE,0.5,0.5,FALSE,0.5,0.5,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1,0.5,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,TRUE
Florida,FL,FALSE,-1,-1,FALSE,0.5,0.5,FALSE,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-1,-1,0,-1,0,-1,0,0,-1,0,-1,-1,0.5,-1,-1,0.5,FALSE
Georgia,GA,FALSE,-1,-1,FALSE,-1,-1,FALSE,-1,-1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.5,FALSE
Hawai‘i,HI,FALSE,1,1,TRUE,0.5,0.5,FALSE,0,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE
Idaho,ID,FALSE,0,0,FALSE,1,1,FALSE,-1,-1,-1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-1,0,0,-1,0,0,0,0,0,0,0,-1,-0.5,-1,0,-1,FALSE
Illinois,IL,TRUE,1,1,TRUE,1,1,TRUE,0,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,1,TRUE
Indiana,IN,FALSE,0.5,0.5,TRUE,-1,-1,FALSE,-1,-1,-1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,-1,0,0,0,0,-1,0,0,-1,-1,-1,0,-1,FALSE
Iowa,IA,FALSE,-1,-1,FALSE,0.5,0.5,FALSE,0.5,0.5,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,0,-0.5,FALSE
Kansas,KS,FALSE,-1,-1,FALSE,-1,-1,FALSE,0.5,0.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0.5,FALSE
Kentucky,KY,FALSE,-1,-1,FALSE,-1,-1,FALSE,1,1,0.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-1,0,0,-1,0,0,0,0,-1,0,0,-1,-0.5,-1,0,-1,FALSE
Louisiana,LA,FALSE,0,0,FALSE,-1,-1,FALSE,1,1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,FALSE
Maine,ME,FALSE,1,1,TRUE,1,0.5,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,TRUE
Maryland,MD,TRUE,1,1,TRUE,0.5,0.5,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE
Massachusetts,MA,TRUE,1,1,TRUE,0.5,0.5,FALSE,0,-1,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,TRUE
Michigan,MI,FALSE,1,1,TRUE,1,1,TRUE,0,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0.5,FALSE
Minnesota,MN,TRUE,1,1,TRUE,0.5,0.5,FALSE,1,0.5,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE
Mississippi,MS,FALSE,-1,-1,FALSE,-1,-1,FALSE,1,1,-1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,0,-1,FALSE
Missouri,MO,FALSE,0.5,0.5,FALSE,-1,-1,FALSE,-1,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,-1,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,-1,FALSE
Montana,MT,FALSE,1,1,FALSE,-1,-1,FALSE,1,0.5,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,-1,-1,0,-1,0,-0.5,0,0,-1,-1,-0.5,-1,0,0.5,FALSE
Nebraska,NE,FALSE,0,0,FALSE,-1,-1,FALSE,0,0,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-0.5,FALSE
Nevada,NV,FALSE,1,1,TRUE,1,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,TRUE
New Hampshire,NH,FALSE,1,1,TRUE,-1,-1,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
New Jersey,NJ,TRUE,1,1,TRUE,1,1,TRUE,1,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE
New Mexico,NM,TRUE,1,1,TRUE,1,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
New York,NY,TRUE,1,1,TRUE,1,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE
North Carolina,NC,FALSE,0.5,0.5,FALSE,-1,-1,FALSE,-1,-1,-1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,-0.5,FALSE
North Dakota,ND,FALSE,0.5,0.5,FALSE,-1,-1,FALSE,0.5,0.5,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,-1,FALSE
Ohio,OH,FALSE,0.5,0.5,FALSE,-1,-1,TRUE,0,0,-1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,0.5,FALSE
Oklahoma,OK,FALSE,-1,-1,FALSE,-1,-1,FALSE,0,0,-1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,-1,-1,-1,FALSE
Oregon,OR,FALSE,1,1,TRUE,1,1,TRUE,1,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE
Pennsylvania,PA,FALSE,1,1,TRUE,1,1,FALSE,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-0.5,FALSE
Rhode Island,RI,FALSE,1,1,TRUE,1,1,TRUE,0,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.5,FALSE
South Carolina,SC,FALSE,-1,-1,FALSE,-1,-1,FALSE,1,1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,0,-0.5,FALSE
South Dakota,SD,FALSE,-1,-1,FALSE,-1,-1,FALSE,0,0.5,-1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,FALSE
Tennessee,TN,FALSE,-1,-1,FALSE,-1,-1,FALSE,1,1,-1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-1,0,-1,-1,-1,-1,0,-0.5,0,0,-1,-1,0,-1,-1,-1,FALSE
Texas,TX,FALSE,-1,-1,FALSE,-1,-1,FALSE,1,1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,-1,-1,0,0,0,0,-1,0,-1,0,-1,0,-1,FALSE
Utah,UT,FALSE,-1,-1,TRUE,-1,-1,TRUE,1,1,0.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,0.5,TRUE,TRUE,FALSE,FALSE,FALSE,-1,-1,-1,0,-1,0,0,0,0,0,0,-1,-0.5,-1,0,0.5,FALSE
Vermont,VT,TRUE,1,1,TRUE,1,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE
Virginia,VA,FALSE,1,1,TRUE,0.5,0.5,FALSE,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-0.5,FALSE
Washington,WA,TRUE,1,1,TRUE,1,0.5,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE
West Virginia,WV,FALSE,0,0,FALSE,1,1,FALSE,0,0,-1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,-1,FALSE
Wisconsin,WI,FALSE,0,0,FALSE,-1,-1,FALSE,0.5,0.5,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,FALSE
Wyoming,WY,FALSE,0.5,0.5,FALSE,-1,-1,FALSE,-1,-1,-1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-0.5,FALSE